losses_russiaequipment,losses_russiamodel,losses_russiasub_model,losses_russiamanufacturer,losses_russialosses_total,losses_russiaabandoned,losses_russiaabandoned and destroyed,losses_russiacaptured,losses_russiacaptured and destroyed,losses_russiacaptured and stripped,losses_russiadamaged,losses_russiadamaged and abandoned,losses_russiadamaged and captured,losses_russiadamaged beyond economical repair,losses_russiadestroyed,losses_russiadestroyed in a non-combat related incident,losses_russiasunk,losses_ukraineequipment,losses_ukrainemodel,losses_ukrainesub_model,losses_ukrainemanufacturer,losses_ukrainelosses_total,losses_ukraineUnnamed: 5,losses_ukraineabandoned,losses_ukraineabandoned and destroyed,losses_ukrainecaptured,losses_ukrainecaptured and destroyed,losses_ukrainedamaged,losses_ukrainedamaged and abandoned,losses_ukrainedamaged and captured,losses_ukrainedamaged beyond economical repair,losses_ukrainedestroyed,losses_ukrainescuttled to prevent capture by Russia,losses_ukrainesunk,losses_ukrainesunk but raised by Russia
Tanks,T-62 Obr. 1967,,the Soviet Union,1,,,1.0,,,,,,,,,,Tanks,T-64A,,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Tanks,T-62M,,the Soviet Union,50,1.0,,29.0,,,1.0,,5.0,,14.0,,,Tanks,T-64B,,the Soviet Union,2.0,,,,1.0,,,,,,1.0,,,
Tanks,T-62MV,,the Soviet Union,12,,,7.0,,,,1.0,1.0,,3.0,,,Tanks,T-64BV,,the Soviet Union,200.0,,3.0,,52.0,8.0,15.0,2.0,4.0,,116.0,,,
Tanks,T-64A,,the Soviet Union,2,,,,,,,,,,2.0,,,Tanks,T-64BV Zr. 2017,,Ukraine,58.0,,3.0,,31.0,,1.0,1.0,,,22.0,,,
Tanks,T-64BV,,the Soviet Union,48,2.0,,4.0,,,3.0,,1.0,,38.0,,,Tanks,T-64BVK,,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Tanks,T-72A,,the Soviet Union,36,1.0,,13.0,,,1.0,,,,21.0,,,Tanks,T-64B1M,,Ukraine,8.0,,,,7.0,,,,,,1.0,,,
Tanks,T-72AV,,the Soviet Union,9,,,3.0,,,,,2.0,,4.0,,,Tanks,T-64BM 'Bulat',,Ukraine,10.0,,,,4.0,,1.0,,,,5.0,,,
Tanks,T-72B,,the Soviet Union,230,4.0,,63.0,3.0,1.0,5.0,5.0,5.0,,144.0,,,Tanks,T-64BM2 'Bulat',,Ukraine,5.0,,,,,,1.0,,,,4.0,,,
Tanks,T-72B Obr. 1989,,the Soviet Union,71,4.0,1.0,17.0,,1.0,1.0,2.0,3.0,,42.0,,,Tanks,Uknown T-64,,the Soviet Union,2.0,,,,,,,,,,2.0,,,
Tanks,T-72BA,,Russia,25,,,14.0,,,2.0,,1.0,,8.0,,,Tanks,T-72 'Ural',,the Soviet Union,3.0,,,,1.0,,1.0,,,,1.0,,,
Tanks,T-72B3,,Russia,267,7.0,,73.0,1.0,,15.0,3.0,12.0,,156.0,,,Tanks,T-72M/M1(R),,Poland,40.0,,1.0,,7.0,,1.0,4.0,,,27.0,,,
Tanks,T-72B3 Obr. 2014,,Russia,3,,,1.0,,,,,,,2.0,,,Tanks,T-72AV,,the Soviet Union,13.0,,,,4.0,,,,1.0,,8.0,,,
Tanks,T-72B3 Obr. 2016,,Russia,202,2.0,3.0,91.0,,,4.0,,10.0,,92.0,,,Tanks,T-72B,,the Soviet Union,28.0,,,,7.0,,2.0,,1.0,,18.0,,,
Tanks,Unknown T-72,,Russia,101,,,5.0,,,16.0,1.0,,,79.0,,,Tanks,T-72AMT,,Ukraine,14.0,,,,4.0,,1.0,1.0,1.0,,7.0,,,
Tanks,T-80BV,,the Soviet Union,209,2.0,1.0,74.0,,,4.0,10.0,7.0,,111.0,,,Tanks,Unknown T-72,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Tanks,T-80BVK,,the Soviet Union,1,,,1.0,,,,,,,,,,Tanks,T-80BV,,the Soviet Union,40.0,,1.0,,9.0,,3.0,1.0,5.0,,21.0,,,
Tanks,T-80U,,Russia,89,10.0,3.0,35.0,,2.0,2.0,,5.0,,32.0,,,Tanks,Unknown tank,,Ukraine,31.0,,,,,,1.0,,,,30.0,,,
Tanks,T-80UK,,Russia,2,,1.0,1.0,,,,,,,,,,Armoured Fighting Vehicles,BRM-1 and BRM-1K reconnaissance vehicle,,the Soviet Union,34.0,,2.0,,11.0,,1.0,1.0,1.0,,18.0,,,
Tanks,T-80UE-1,,Russia,8,,,7.0,,,,,,,1.0,,,Armoured Fighting Vehicles,BRDM-2,,the Soviet Union,57.0,,,,32.0,,,,,,25.0,,,
Tanks,T-80UM2,,Russia,1,,,,,,,,,,1.0,,,Armoured Fighting Vehicles,BRDM-2L1,,Ukraine,38.0,,,,15.0,,1.0,,,,22.0,,,
Tanks,T-80BVM,,Russia,67,,,28.0,,1.0,4.0,,4.0,,30.0,,,Armoured Fighting Vehicles,BRDM-2RKhb chemical reconnaissance vehicle,,the Soviet Union,10.0,,,,2.0,,,,,,8.0,,,
Tanks,T-80BVM Obr. 2022,,Russia,1,,,,,,,,,,1.0,,,Armoured Fighting Vehicles,MT-T multi-purpose tracked transporter,,the Soviet Union,1.0,,,,,,1.0,,,,,,,
Tanks,Unknown T-80,,Russia,4,1.0,,2.0,,,,,,,1.0,,,Armoured Fighting Vehicles,Vepr,,Ukraine,3.0,,,,1.0,,,,,,2.0,,,
Tanks,T-90A,,Russia,33,1.0,2.0,13.0,,,,,,,17.0,,,Armoured Fighting Vehicles,MT-LB,,the Soviet Union,37.0,,1.0,,5.0,,,,,,31.0,,,
Tanks,T-90S,,Russia,3,,,1.0,,,,,,,2.0,,,Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,,the Soviet Union,10.0,,,,2.0,,,,,,8.0,,,
Tanks,T-90M,,Russia,10,,,2.0,,,3.0,1.0,,,4.0,,,Armoured Fighting Vehicles,BTS-4 ARV with ZU-23 AA gun,,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Tanks,Unknown tank,,Russia,188,2.0,,,,,13.0,3.0,,,170.0,,,Armoured Fighting Vehicles,MT-LBu,,the Soviet Union,5.0,,,,2.0,,,,,,3.0,,,
Armoured Fighting Vehicles,BRM-1 and BRM-1K reconnaissance vehicle,,the Soviet Union,25,,,9.0,,,1.0,1.0,,,14.0,,,Armoured Fighting Vehicles,MT-LB-S Ambulance,,Ukraine,15.0,,1.0,,4.0,,,,,,10.0,,,
Armoured Fighting Vehicles,BRM-1K Obr. 2021,,Russia,1,,,1.0,,,,,,,,,,Armoured Fighting Vehicles,BMM-70 Ambulance,,Ukraine,1.0,,,,,,,,,,1.0,,,
Armoured Fighting Vehicles,BRDM-2,,the Soviet Union,4,,,1.0,,,,,,,3.0,,,Armoured Fighting Vehicles,BMM-4C Ambulance,,Ukraine,3.0,,,,2.0,,,,,,1.0,,,
Armoured Fighting Vehicles,BRDM-2RKhb chemical reconnaissance vehicle,,the Soviet Union,2,,,2.0,,,,,,,,,,Armoured Fighting Vehicles,Unknown AFV,,Ukraine,45.0,,,,,,,,,,45.0,,,
Armoured Fighting Vehicles,BRDM-2-based ZS-82 PsyOps vehicle,,the Soviet Union,2,,,1.0,,,,,,,1.0,,,Infantry Fighting Vehicles,BMP-1(P),,the Soviet Union,238.0,,13.0,1.0,43.0,,5.0,1.0,1.0,,174.0,,,
Armoured Fighting Vehicles,BTR-80-based ZS-88 PsyOps vehicle,,the Soviet Union,1,,,,,,,,,,1.0,,,Infantry Fighting Vehicles,BMP-1TS,,Ukraine,1.0,,,,,,,,,,1.0,,,
Armoured Fighting Vehicles,MT-LB,,the Soviet Union,357,14.0,,128.0,1.0,,3.0,,7.0,,204.0,,,Infantry Fighting Vehicles,BMP-1U 'Shkval',,Ukraine,1.0,,,,1.0,,,,,,,,,
Armoured Fighting Vehicles,MT-LBVM and MT-LBVMK,,the Soviet Union,156,8.0,,83.0,,,,,3.0,,62.0,,,Infantry Fighting Vehicles,BWP-1,,Poland,1.0,,,,,,,,,,1.0,,,
Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,,the Soviet Union,22,,,10.0,,,,,,,12.0,,,Infantry Fighting Vehicles,Pbv 501A,,Sweden,3.0,,,,,,,,,,3.0,,,
Armoured Fighting Vehicles,MT-LBu,,the Soviet Union,16,1.0,,6.0,,,,,,,9.0,,,Infantry Fighting Vehicles,BVP M-80A,,Slovenia,2.0,,,,,,2.0,,,,,,,
Armoured Fighting Vehicles,Vityaz DT-10PM articulated tracked carrier,,Russia,1,,,,,,,,,,1.0,,,Infantry Fighting Vehicles,BMP-2(K),,the Soviet Union,98.0,,6.0,,21.0,,1.0,1.0,,,69.0,,,
Armoured Fighting Vehicles,Vityaz DT-30 articulated tracked carrier,,Russia,3,,,1.0,,,,,1.0,,1.0,,,Infantry Fighting Vehicles,Unknown BMP-1/2,,Ukraine,13.0,,,,,,,,,,13.0,,,
Armoured Fighting Vehicles,GAZ-3344-20 'Aleut' articulated tracked carrier,,Russia,2,,,,,,,,,,2.0,,,Infantry Fighting Vehicles,BMD-2,,the Soviet Union,4.0,,,,3.0,,,,,,1.0,,,
Armoured Fighting Vehicles,2S1 with ZU-23 AA gun,,the Soviet Union,1,,,1.0,,,,,,,,,,Infantry Fighting Vehicles,BTR-ZD,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Armoured Fighting Vehicles,Unknown BTR-D/BMD-2,,the Soviet Union,9,,,1.0,,,,,,,8.0,,,Infantry Fighting Vehicles,BTR-3,,Ukraine,38.0,,,,11.0,,1.0,,,,26.0,,,
Armoured Fighting Vehicles,BMM-80 ambulance,,the Soviet Union,1,,,,,,,,,,1.0,,,Infantry Fighting Vehicles,BTR-4,,Ukraine,71.0,,2.0,,22.0,3.0,3.0,3.0,,,38.0,,,
Armoured Fighting Vehicles,Unknown AFV,,Russia,170,1.0,,2.0,,,8.0,,,,159.0,,,Armoured Personnel Carriers,BTR-60PB,,the Soviet Union,17.0,,,,7.0,,,,1.0,,9.0,,,
Infantry Fighting Vehicles,BMP-1(P),,the Soviet Union,274,8.0,,85.0,,,16.0,8.0,8.0,,149.0,,,Armoured Personnel Carriers,BTR-70,,the Soviet Union,28.0,,,,12.0,,4.0,,,,12.0,,,
Infantry Fighting Vehicles,BMP-1AM,,Russia,21,2.0,,2.0,1.0,,2.0,1.0,3.0,,10.0,,,Armoured Personnel Carriers,BTR-70M,,Ukraine,20.0,,1.0,,11.0,,,,,,8.0,,,
Infantry Fighting Vehicles,BMP-2(K),,the Soviet Union,708,24.0,,212.0,,,11.0,13.0,17.0,,430.0,,,Armoured Personnel Carriers,BTR-7,,Ukraine,11.0,,,,9.0,,,,,,2.0,,,
Infantry Fighting Vehicles,BMP-2M,,Russia,10,,,4.0,,,,,1.0,,5.0,,,Armoured Personnel Carriers,BTR-80,,the Soviet Union,92.0,,,,33.0,,1.0,,2.0,,56.0,,,
Infantry Fighting Vehicles,BMP-2 675-sb3KDZ,,Russia,3,,,1.0,,,,,1.0,,1.0,,,Armoured Personnel Carriers,BTR-80M,,Ukraine,2.0,,,,2.0,,,,,,,,,
Infantry Fighting Vehicles,Unknown BMP-1/2,,the Soviet Union,101,1.0,,,,,3.0,1.0,,,96.0,,,Armoured Personnel Carriers,BTR-D,,the Soviet Union,2.0,,,,1.0,,,,,,1.0,,,
Infantry Fighting Vehicles,BMP-3,,Russia,219,9.0,,57.0,,,12.0,3.0,7.0,,131.0,,,Armoured Personnel Carriers,GT-MU AFV converted to APC,,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Infantry Fighting Vehicles,MT-LBM 6MB,,the Soviet Union,6,1.0,,2.0,,,1.0,,1.0,,1.0,,,Armoured Personnel Carriers,Unknown BTR,,Ukraine,5.0,,1.0,,,,,,,,4.0,,,
Infantry Fighting Vehicles,BMO-T,,Russia,3,,,,,,,,,,3.0,,,Armoured Personnel Carriers,YPR-765,,the Netherlands,18.0,,1.0,,2.0,,4.0,,,,11.0,,,
Infantry Fighting Vehicles,BMD-2,,the Soviet Union,190,6.0,,48.0,,2.0,5.0,,2.0,,127.0,,,Armoured Personnel Carriers,M113,,the United States,18.0,,,,2.0,,,2.0,,,14.0,,,
Infantry Fighting Vehicles,BMD-2,with RP-337VM1 jammer,the Soviet Union,2,,,1.0,,,,,,,1.0,,,Armoured Personnel Carriers,VAB,,France,6.0,,,,,,1.0,3.0,,,2.0,,,
Infantry Fighting Vehicles,BMD-2,with RP-377VM1 jammer,the Soviet Union,1,,,1.0,,,,,,,,,,Armoured Personnel Carriers,Sisu XA-185,,Finland,3.0,,,,1.0,,,,,,2.0,,,
Infantry Fighting Vehicles,BMD-4M,,Russia,64,,,9.0,,,,,1.0,,54.0,,,Mine-Resistant Ambush Protected,Vepr,,Ukraine,1.0,,,,1.0,,,,,,,,,
Infantry Fighting Vehicles,BMD-4M,with RP-337VM1 jammer,Russia,1,,,1.0,,,,,,,,,,Mine-Resistant Ambush Protected,KrAZ-MPV Shrek One,,Ukraine,2.0,,,,1.0,,,,,,1.0,,,
Infantry Fighting Vehicles,BTR-82A(M),,Russia,399,9.0,,118.0,,1.0,9.0,4.0,7.0,,251.0,,,Mine-Resistant Ambush Protected,Alvis 4 'Mamba',,the United Kingdom,3.0,,,,1.0,,,,,,2.0,,,
Armoured Personnel Carriers,BTR-60PB,,the Soviet Union,1,,,,,,1.0,,,,,,,Mine-Resistant Ambush Protected,Mastiff Protected Patrol,,the United Kingdom,7.0,,,,,,1.0,,,,6.0,,,
Armoured Personnel Carriers,BTR-70,,the Soviet Union,4,,,1.0,,,,,,,3.0,,,Mine-Resistant Ambush Protected,Wolfhound Protected Patrol,,the United Kingdom,2.0,,,,,,,,,,2.0,,,
Armoured Personnel Carriers,BTR-70M,,Russia,1,,,,,,,,,,1.0,,,Mine-Resistant Ambush Protected,Bushmaster Protected Mobility Vehicle,,Australia %28converted%29,6.0,,,,,,2.0,,,,4.0,,,
Armoured Personnel Carriers,BTR-80,,the Soviet Union,153,4.0,,60.0,,,1.0,,2.0,,86.0,,,Mine-Resistant Ambush Protected,International M1224 MaxxPro,,the United States,11.0,,1.0,,,,3.0,,,,7.0,,,
Armoured Personnel Carriers,Unknown BTR-80/BTR-82A,,Russia,45,2.0,,,,,2.0,1.0,,,40.0,,,Mine-Resistant Ambush Protected,BMC Kirpi,,Turkey,9.0,,,,1.0,,1.0,1.0,1.0,,5.0,,,
Armoured Personnel Carriers,Remdiesel Z-STS Akhmat,,Russia,4,,,1.0,,,,,,,3.0,,,Infantry Mobility Vehicles,KrAZ Cobra,,Ukraine,11.0,,,,6.0,,,,,,5.0,,,
Armoured Personnel Carriers,Ural-4320VV,,Russia,3,,,1.0,,,,,,,2.0,,,Infantry Mobility Vehicles,KrAZ Cougar,,Ukraine,6.0,,,,4.0,,,,,,2.0,,,
Armoured Personnel Carriers,BTR-D,,the Soviet Union,71,5.0,,22.0,,,,,2.0,,42.0,,,Infantry Mobility Vehicles,KrAZ Spartan,,Ukraine,10.0,,,,,,,,,,10.0,,,
Armoured Personnel Carriers,BTR-MDM 'Rakushka',,Russia,14,,,7.0,,,1.0,,,,6.0,,,Infantry Mobility Vehicles,Novator,,Ukraine,14.0,,,,3.0,,2.0,,,,9.0,,,
Mine-Resistant Ambush Protected,KamAZ-63968 Typhoon,,Russia,23,,,5.0,,,2.0,1.0,,,15.0,,,Infantry Mobility Vehicles,Varta,,Ukraine,35.0,,,,25.0,,1.0,,,,9.0,,,
Mine-Resistant Ambush Protected,KamAZ-435029 Patrol-A,,Russia,2,,,,,,1.0,,,,1.0,,,Infantry Mobility Vehicles,Kozak-2,,Ukraine,60.0,,,,22.0,,,1.0,1.0,,36.0,,,
Mine-Resistant Ambush Protected,K-53949 Typhoon-K,,Russia,8,,,1.0,,,,,,,7.0,,,Infantry Mobility Vehicles,Kozak-2M1,,Ukraine,17.0,,1.0,,6.0,,,,,,10.0,,,
Mine-Resistant Ambush Protected,K-53949 Linza,,Russia,11,,,3.0,,,1.0,,1.0,,6.0,,,Infantry Mobility Vehicles,Kozak-5,,Ukraine,4.0,,,,2.0,,,,,,2.0,,,
Infantry Mobility Vehicles,BPM-97 Vystrel,,Russia,3,,,2.0,,,,,,,1.0,,,Infantry Mobility Vehicles,Triton-1,,Ukraine,3.0,,,,3.0,,,,,,,,,
Infantry Mobility Vehicles,GAZ Tigr,,Russia,14,1.0,,7.0,,,,,,,6.0,,,Infantry Mobility Vehicles,M1114 and M1151 HMMWV,,the United States,43.0,,,,6.0,,3.0,,4.0,,30.0,,,
Infantry Mobility Vehicles,GAZ Tigr-M,,Russia,115,,,29.0,,,1.0,,2.0,,83.0,,,Infantry Mobility Vehicles,M1152 HMMWV,,the United States,3.0,,,,,,,,,,3.0,,,
Infantry Mobility Vehicles,GAZ Tigr-M,with Arbalet-DM turret,Russia,8,,,1.0,,,,,,,7.0,,,Infantry Mobility Vehicles,M998 HMMWV,,the United States,17.0,,,,15.0,,,,1.0,,1.0,,,
Infantry Mobility Vehicles,AMN-590951,,Russia,3,,,3.0,,,,,,,,,,Infantry Mobility Vehicles,HMMWV Ambulance,,the United States,9.0,,,,3.0,,1.0,,3.0,,2.0,,,
Infantry Mobility Vehicles,Iveco LMV Rys,,Italy,31,,1.0,1.0,,,1.0,,4.0,,24.0,,,Infantry Mobility Vehicles,AT105A Saxon,,the United Kingdom,16.0,,,,12.0,,,,,,4.0,,,
Command Posts And Communications Stations,BMP-1KSh command and staff vehicle,,the Soviet Union,9,,,2.0,,,,,,,7.0,,,Infantry Mobility Vehicles,Husky Tactical Support Vehicle,,the United Kingdom,15.0,,,,,,4.0,,1.0,,10.0,,,
Command Posts And Communications Stations,BMD-1KSh-A command vehicle,,the Soviet Union,12,,,4.0,,,,,,,8.0,,,Infantry Mobility Vehicles,Iveco LMV,,Italy,9.0,,,,,,1.0,,,,8.0,,,
Command Posts And Communications Stations,BTR-60PU-12command vehicle,,the Soviet Union,1,,,1.0,,,,,,,,,,Infantry Mobility Vehicles,MLS Shield,,Italy,3.0,,,,,,2.0,,,,1.0,,,
Command Posts And Communications Stations,R-145BM command vehicle,,the Soviet Union,1,,,1.0,,,,,,,,,,Infantry Mobility Vehicles,INKAS Titan-S,,the United Arab Emirates,1.0,0.0,,,,,,,,,1.0,,,
Command Posts And Communications Stations,R-145BM1 command vehicle,,the Soviet Union,4,,,1.0,,,,,,,3.0,,,Infantry Mobility Vehicles,Roshel Senator,,Canada %28Pantone%29,1.0,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,R-145BMA command vehicle,,Russia,1,,,1.0,,,,,,,,,,Command Posts And Communications Stations,BMP-1KSh command and staff vehicle,,the Soviet Union,2.0,,,,,,,,,,2.0,,,
Command Posts And Communications Stations,R-142NSA command and signals vehicle,,the Soviet Union,2,,,,,,,,,,2.0,,,Command Posts And Communications Stations,R-145BM command vehicle,,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Command Posts And Communications Stations,R-149MA1 command and staff vehicle,,Russia,74,1.0,,32.0,,,,1.0,2.0,,38.0,,,Command Posts And Communications Stations,BTR-60PU-12 air defence command vehicle,,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Command Posts And Communications Stations,R-149MA3 command and staff vehicle,,Russia,36,,,19.0,,,,,4.0,,13.0,,,Command Posts And Communications Stations,R-409A radio station vehicle,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,R-149MA3 command and staff vehicle,with RP-337VM1 jammer,Russia,1,,,,,,,,,,1.0,,,Command Posts And Communications Stations,R-405M radio station vehicle,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,APE-5 command post,,Russia,4,,,,,,,,,,4.0,,,Command Posts And Communications Stations,9S470M1 command vehicle for Buk-M1,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,MSh-5350.1 command vehicle,,Russia,1,,,1.0,,,,,,,,,,Command Posts And Communications Stations,K1Sh1 command and staff vehicle,,Ukraine,1.0,,,,1.0,,,,,,,,,
Command Posts And Communications Stations,9S470M1 (or variant thereof) command post (for Buk-M1/2),,Russia,2,,,1.0,,,,,,,1.0,,,Command Posts And Communications Stations,Radio relay station for the TB2 UCAV,,Turkey,1.0,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,Barnaul-T 9С932-1 automated system for air defence units,,Russia,5,,,4.0,,,,,,,1.0,,,Engineering Vehicles And Equipment,IMR-2 combat engineering vehicle,,the Soviet Union,4.0,,,,1.0,,,,,,3.0,,,
Command Posts And Communications Stations,"9S932-2 intelligence, control and command vehicle (for Barnaul-T)",,Russia,1,,,1.0,,,,,,,,,,Engineering Vehicles And Equipment,BREM-Ch ''BREM-4'' armoured recovery vehicle,,the Czech Republic,1.0,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,Command vehicle for Podlet-K1 low-altitude S-band surveillance radar,,Russia,1,,,,,,,,,,1.0,,,Engineering Vehicles And Equipment,T-64 mine clearing roller tank,,Ukraine,1.0,,,,1.0,,,,,,,,,
Command Posts And Communications Stations,R-149AKSh-1 command and signals vehicle,,Russia,12,,,1.0,,,,,,,11.0,,,Engineering Vehicles And Equipment,BAT-2 heavy engineering vehicle,,the Soviet Union,2.0,,,,1.0,,,,1.0,,,,,
Command Posts And Communications Stations,R-166-0.5 signals vehicle,,Russia,23,1.0,,6.0,,,,,1.0,,15.0,,,Engineering Vehicles And Equipment,IRM 'Zhuk' Engineer Reconnaissance Vehicle,,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Command Posts And Communications Stations,P-240 digital communications vehicle,,Russia,1,,,,,,,,,,1.0,,,Engineering Vehicles And Equipment,MDK-3 trench-digging vehicle,,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Command Posts And Communications Stations,P-260 Redut-2US communication system,,Russia,1,,,,,,,,,,1.0,,,Engineering Vehicles And Equipment,RKhM 'Kashalot',,the Soviet Union,2.0,,,,1.0,,,,,,1.0,,,
Command Posts And Communications Stations,P-260-U signals vehicle (for Redut-2US signal and communications system),,Russia,1,,,,1.0,,,,,,,,,Engineering Vehicles And Equipment,BTS-4 armoured recovery vehicle,,the Soviet Union,4.0,,,,2.0,,,,,,2.0,,,
Command Posts And Communications Stations,R-431AM antenna module for the Redut-2US communications system,,Russia,1,,,,,,,,,,1.0,,,Engineering Vehicles And Equipment,BREM-1 armoured recovery vehicle,,the Soviet Union,2.0,,,,1.0,,,,,,1.0,,,
Command Posts And Communications Stations,R-419L1 communications station,,Russia,2,,,,,,,,,,2.0,,,Engineering Vehicles And Equipment,Ural-4320 KET-L recovery vehicle,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,MP-1IM signals vehicle,,Russia,10,,,3.0,,,,,,,7.0,,,Engineering Vehicles And Equipment,MTO-AT mobile workshop,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Command Posts And Communications Stations,MP-2IM signals vehicle,,Russia,2,,,1.0,,,,,,,1.0,,,Engineering Vehicles And Equipment,PTS-2  tracked amphibious transport,,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Command Posts And Communications Stations,R-439-MD2 SatCom Station,,Russia,2,,,,,,,,,,2.0,,,Engineering Vehicles And Equipment,PMP floating bridge,,the Soviet Union,3.0,,,,1.0,,,,,,2.0,,,
Command Posts And Communications Stations,R-441 SatCom station,,Russia,1,,,,,,,,,,1.0,,,Engineering Vehicles And Equipment,TMM-3M1 bridge layer,,Ukraine,3.0,,,,2.0,,,,,,1.0,,,
