losses_russiaequipment,losses_russiamodel,losses_russiasub_model,losses_russiamanufacturer,losses_russialosses_total,losses_russiaabandoned,losses_russiaabandoned and destroyed,losses_russiacaptured,losses_russiacaptured and destroyed,losses_russiacaptured and stripped,losses_russiadamaged,losses_russiadamaged and abandoned,losses_russiadamaged and captured,losses_russiadamaged beyond economical repair,losses_russiadestroyed,losses_russiadestroyed in a non-combat related incident,losses_russiasunk,losses_ukraineequipment,losses_ukrainemodel,losses_ukrainesub_model,losses_ukrainemanufacturer,losses_ukrainelosses_total,losses_ukraineUnnamed: 5,losses_ukraineabandoned,losses_ukraineabandoned and destroyed,losses_ukrainecaptured,losses_ukrainecaptured and destroyed,losses_ukrainedamaged,losses_ukrainedamaged and abandoned,losses_ukrainedamaged and captured,losses_ukrainedamaged beyond economical repair,losses_ukrainedestroyed,losses_ukrainescuttled to prevent capture by Russia,losses_ukrainesunk,losses_ukrainesunk but raised by Russia
Self-Propelled Anti-Aircraft Guns,2K22M1 Tunguska,,Russia,13,1.0,5.0,1.0,,,,1.0,,,5.0,,,Unmanned Aerial Vehicles,Spaitech Sparrow,,Ukraine,2.0,,,,2.0,,,,,,,,,
Surface-To-Air Missile Systems,9K33 Osa,,the Soviet Union,9,1.0,,3.0,,,,1.0,,,4.0,,,Unmanned Aerial Vehicles,Spectator-M1,,Ukraine,3.0,,,,1.0,,,,,,2.0,,,
Surface-To-Air Missile Systems,9K35 Strela-10,,the Soviet Union,14,2.0,,4.0,,,,,,,8.0,,,Unmanned Aerial Vehicles,PD-1,,Ukraine,1.0,,,,1.0,,,,,,,,,
Surface-To-Air Missile Systems,9A310M1-2 TELAR (for Buk-M1-2),,Russia,4,,,,,,1.0,,,,3.0,,,Unmanned Aerial Vehicles,ITEC Skif,,Ukraine,1.0,,,,1.0,,,,,,,,,
Surface-To-Air Missile Systems,9A39M1-2 TEL (for Buk-M1-2),,Russia,5,,,,,,,,,,5.0,,,Unmanned Aerial Vehicles,Orlik UAV,,Ukraine,1.0,,,,,,,,,,1.0,,,
Surface-To-Air Missile Systems,9A317 TELAR (for Buk-M2),,Russia,9,,,1.0,,,1.0,,,,7.0,,,Unmanned Aerial Vehicles,Shark UAV,,Ukraine,1.0,,,,1.0,,,,,,,,,
Surface-To-Air Missile Systems,9A316 TEL (for Buk-M2),,Russia,3,,,3.0,,,,,,,,,,Unmanned Aerial Vehicles,FlyEye,,Poland,3.0,,,,1.0,,,,,,2.0,,,
Surface-To-Air Missile Systems,Unknown Buk SAM system,,Russia,4,,,,,,,,,,4.0,,,Unmanned Aerial Vehicles,Penguin C,,Latvia,1.0,,,,1.0,,,,,,,,,
Surface-To-Air Missile Systems,9A330 Tor TLAR (for 9K330 Tor),,the Soviet Union,8,,,3.0,,,,,3.0,,2.0,,,Unmanned Aerial Vehicles,Bayraktar Mini,,Turkey,2.0,,,,1.0,,,,,,1.0,,,
Surface-To-Air Missile Systems,9A331 TLAR (for 9K331 Tor-M1),,Russia,9,,1.0,2.0,,,,,,,6.0,,,Unmanned Aerial Vehicles,AeroVironment RQ-20 Puma,,the United States,1.0,,,,1.0,,,,,,,,,
Surface-To-Air Missile Systems,9A331M TLAR (for 9K332 Tor-M2),,Russia,8,1.0,,2.0,,,1.0,,,,4.0,,,Unmanned Aerial Vehicles,Malloy Aeronautics T150 cargo UAV,,the United Kingdom,1.0,,,,1.0,,,,,,,,,
Surface-To-Air Missile Systems,9K331MDT Tor-M2DT,,Russia,2,,,,,,,,,,2.0,,,Unmanned Aerial Vehicles,Unknown reconnaissance UAV,,Ukraine,8.0,,,,,,,,,,8.0,,,
Surface-To-Air Missile Systems,Pantsir-S1,,Russia,14,,1.0,2.0,,,,,,,11.0,,,Naval Ships,Krivak III-class frigate 'Hetman Sahaydachniy',,the Soviet Union,1.0,,,,,,,,,,,1.0,,
Surface-To-Air Missile Systems,5P85SM2-01 (launcher for S-400),,Russia,1,,,,,,,,,,1.0,,,Naval Ships,Gyurza-M-class gunboat,,Ukraine,1.0,,,,,,1.0,,,,,,,
Surface-To-Air Missile Systems,5P85SD/SM (launcher for S-300 PMU(-1)),,the Soviet Union,2,,,,,,,,,,2.0,,,Naval Ships,Gyurza-M-class gunboat,Akkerman 'P174',Ukraine,1.0,,,,1.0,,,,,,,,,
Radars,9S36 (for Buk-M2),,Russia,2,,,1.0,,,,,,,1.0,,,Naval Ships,Gyurza-M-class gunboat,Kremenchuk 'P177',Ukraine,1.0,,,,1.0,,,,,,,,,
Radars,48Ya6-K1 Podlet-K1 low-altitude S-band surveillance radar,,Russia,2,,,,,,,,,,2.0,,,Naval Ships,Gyurza-M-class gunboat,Lubny 'P178',Ukraine,1.0,,,,,,,,,,,,,1.0
Radars,9S18М1(-2) (for Buk-M2),,Russia,1,,,1.0,,,,,,,,,,Naval Ships,Gyurza-M-class gunboat,Vyshhorod 'P179',Ukraine,1.0,,,,1.0,,,,,,,,,
Radars,9S18М1(-3) (for Buk-M3),,Russia,1,,,,,,,,,,1.0,,,Naval Ships,Island-class patrol boat P190 Slovyansk,,the United States,1.0,,,,,,,,,,,,1.0,
Radars,9S18 Kupol TUBE ARM Search and Acquisition Radar for Buk-M2,,Russia,1,,,,,,,,,,1.0,,,Naval Ships,Stenka-class patrol boat (Operated by the Sea Guard),BG-32 'Donbass',the Soviet Union,1.0,,,,,,,,,,,,1.0,
Radars,PPRU-1(M) '9S80(-1)' 'Sborka' (for 9K35 Strela-10),,Russia,2,,,1.0,,,,,,,1.0,,,Naval Ships,Zhuk-class patrol boat (Sea Guard),'BG 108',the Soviet Union,1.0,,,,,,,,,,1.0,,,
Radars,Fara ground surveillance radar,,Russia,2,,,2.0,,,,,,,,,,Naval Ships,Zhuk-class patrol boat (Sea Guard),'BG 118',the Soviet Union,1.0,,,,1.0,,,,,,,,,
Radars,SNAR-10M1 battlefield surveillance radar,,Russia,1,,,1.0,,,,,,,,,,Naval Ships,Zhuk-class patrol boat (Sea Guard),unknown ID,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Radars,1L261 (for 1L260 Zoopark-1M counter-battery radar complex),,Russia,6,,,2.0,,,1.0,,,,3.0,,,Naval Ships,Sorum-class seagoing tugboat 'Korets' ''A830 or P186'',,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Radars,1L271 portable mortar locating reconnaissance radar,,Russia,1,,,1.0,,,,,,,,,,Naval Ships,Project 1258 Yevgenya-class minesweeper 'Henichesk',,the Soviet Union,1.0,,,,,,,,,,,,1.0,
Radars,P-18T,,Russia,1,,,,,,,,,,1.0,,,Naval Ships,Pr.304 Amur-class command ship 'Donbas' ''U-500'',,Poland,1.0,,,,,,,,,,1.0,,,
Radars,P-18-2 2D VHF surveillance radar,,Russia,1,,,,,,,,,,1.0,,,Naval Ships,Project 58181 Centaur-class fast assault boat,DSHK-1 Stanislav,Ukraine,1.0,,,,,,,,,,,,1.0,
Radars,Unknown radar,,Russia,2,,,,,,,,,,2.0,,,Naval Ships,UMS 600 patrol boat,BG 721,Ukraine,1.0,,,,1.0,,,,,,,,,
Jammers And Deception Systems,R-330BMV Borisoglebsk-2B,,Russia,7,,,2.0,,,1.0,,,,4.0,,,Naval Ships,UMS-1000 patrol boat,BG 14,Ukraine,1.0,,,,1.0,,,,,,,,,
Jammers And Deception Systems,R-330ZH Zhitel,,Russia,4,,,,,,,,,,4.0,,,Naval Ships,UMS-1000 patrol boat,BG 23,Ukraine,1.0,,,,1.0,,,,,,,,,
Jammers And Deception Systems,1L262E Rtut-BM,,Russia,1,,,,,,,,,,1.0,,,Naval Ships,UMS-1000 patrol boat,BG 309,Ukraine,1.0,,,,1.0,,,,,,,,,
Jammers And Deception Systems,Torn(-MDM),,Russia,1,,,1.0,,,,,,,,,,Naval Ships,UMS-1000 patrol boat,BG 4,Ukraine,1.0,,,,1.0,,,,,,,,,
Jammers And Deception Systems,Silok-01 counter-UAV system,,Russia,4,,,1.0,,,1.0,,,,2.0,,,Naval Ships,UMS-1000 patrol boat,unknown ID,Ukraine,1.0,,,,,,,,1.0,,,,,
Jammers And Deception Systems,1RL257 Krasukha-4 (command post),,Russia,1,,,1.0,,,,,,,,,,Naval Ships,Project 50030 Kalkan class patrol boat,BG 310,Ukraine,1.0,,,,1.0,,,,,,,,,
Jammers And Deception Systems,Leer-2 electronic warfare system,,Russia,1,,,,,,,,,,1.0,,,Naval Ships,Project 50030 Kalkan class patrol boat,BG 311,Ukraine,1.0,,,,1.0,,,,,,,,,
Jammers And Deception Systems,RLK-MC-A (ROSC-1) counter-UAV system,,Russia,1,,,,,,,,,,1.0,,,Naval Ships,Project 50030 Kalkan class patrol boat,BG ??8,Ukraine,1.0,,,,1.0,,,,,,,,,
Jammers And Deception Systems,RB-636AM2 Svet-KU EW system,,Russia,1,,,1.0,,,,,,,,,,Naval Ships,Unkown patrol boat,unknown ID,Ukraine,1.0,,,,1.0,,,,,,,,,
Jammers And Deception Systems,Unknown EW system,,Russia,1,,,,,,,,,,1.0,,,"Trucks, Vehicles and Jeeps",KrAZ-255B,,the Soviet Union,7.0,,,,2.0,,,,,,5.0,,,
Aircraft,MiG-31BM fighter aircraft,,Russia,1,,,,,,,,,,,1.0,,"Trucks, Vehicles and Jeeps",KrAZ-260,,the Soviet Union,4.0,,,,3.0,,,,,,1.0,,,
Aircraft,Su-30SM multirole aircraft,,Russia,11,,,,,,,,,1.0,10.0,,,"Trucks, Vehicles and Jeeps",KrAZ-6322,,Ukraine,34.0,,,,14.0,,,,1.0,,19.0,,,
Aircraft,Su-35S multirole aircraft,,Russia,1,,,,,,,,,,1.0,,,"Trucks, Vehicles and Jeeps",Armoured KrAZ-6322,,Ukraine,3.0,,,,3.0,,,,,,,,,
Aircraft,Su-25 close air support aircraft,,the Soviet Union,25,,,,,,2.0,,,1.0,19.0,3.0,,"Trucks, Vehicles and Jeeps",KrAZ-5233,,Ukraine,23.0,,,,12.0,,,,,,11.0,,,
Aircraft,Su-24MR tactical reconnaissance aircraft,,the Soviet Union,1,,,,,,,,,,1.0,,,"Trucks, Vehicles and Jeeps",Bogdan-63172,,Ukraine,19.0,,2.0,,1.0,,1.0,,,,15.0,,,
Aircraft,Su-24M/MR strike/tactical reconnaissance aircraft,,the Soviet Union,8,,,,,,1.0,,,1.0,5.0,1.0,,"Trucks, Vehicles and Jeeps",Bogdan-63172 'Kozak',,Ukraine,5.0,,,,1.0,,,,,,4.0,,,
Aircraft,Su-34 strike aircraft,,Russia,17,,,,,,,,,,14.0,3.0,,"Trucks, Vehicles and Jeeps",9T217 transloader (for 9K33 Osa),,the Soviet Union,4.0,,,,,,,,,,4.0,,,
Aircraft,Su-34M strike aircraft,,Russia,1,,,,,,,,,,1.0,,,"Trucks, Vehicles and Jeeps",GAZ-63,,the Soviet Union,2.0,,,,,,,,,,2.0,,,
Aircraft,Unknown Su-30/Su-34/Su-35,,Russia,1,,,,,,,,,,1.0,,,"Trucks, Vehicles and Jeeps",GAZ-66,,the Soviet Union,68.0,0.0,1.0,,28.0,,2.0,1.0,2.0,,34.0,,,
Aircraft,Tu-22M3 strategic bomber,,the Soviet Union,1,,,,,,1.0,,,,,,,"Trucks, Vehicles and Jeeps",GAZ-66,with 23mm ZU-23,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Aircraft,Tu-95MS strategic bomber,,the Soviet Union,1,,,,,,1.0,,,,,,,"Trucks, Vehicles and Jeeps",GAZ-66,with 82mm 2B9 Vasilek mortar,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Aircraft,An-26 transport aircraft,,the Soviet Union,1,,,,,,,,,,,1.0,,"Trucks, Vehicles and Jeeps",GAZ-66,with ZU-23 AA gun,the Soviet Union,2.0,,,,1.0,,,,,,1.0,,,
Helicopters,Mi-8 transport helicopter,,Russia,16,,1.0,,,,1.0,,,,13.0,1.0,,"Trucks, Vehicles and Jeeps",GAZ-3308,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Helicopters,Mi-24P attack helicopter,,the Soviet Union,3,,,,,,,,,,3.0,,,"Trucks, Vehicles and Jeeps",ZiL-130,,the Soviet Union,4.0,,,,,,,,,,4.0,,,
Helicopters,Mi-24V/P attack helicopter,,the Soviet Union,1,,,,,,1.0,,,,,,,"Trucks, Vehicles and Jeeps",ZiL-130 tanker,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Helicopters,Mi-35M attack helicopter,,Russia,6,,,,,,1.0,,,,5.0,,,"Trucks, Vehicles and Jeeps",ZiL-131 tanker,,the Soviet Union,2.0,,,,1.0,,,,,,1.0,,,
Helicopters,Mi-24P/35M attack helicopter,,Russia,1,,,,,,1.0,,,,,,,"Trucks, Vehicles and Jeeps",ZiL-131,,the Soviet Union,90.0,,2.0,,38.0,,1.0,,,,49.0,,,
Helicopters,Mi-28 attack helicopter,,Russia,11,,,,,,4.0,,,,7.0,,,"Trucks, Vehicles and Jeeps",ZiL-131,with ZU-23 AA gun,the Soviet Union,5.0,,,,2.0,,,,,,3.0,,,
Helicopters,Ka-52 'Alligator' attack helicopter,,Russia,31,,2.0,,,,2.0,,1.0,,25.0,1.0,,"Trucks, Vehicles and Jeeps",ZiL-4331,,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Helicopters,Unknown helicopter,,Russia,6,,,,,,,,,,6.0,,,"Trucks, Vehicles and Jeeps",ZiL-157,,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Unmanned Combat Aerial Vehicles,Orion,,Russia,2,,,,,,,,,,2.0,,,"Trucks, Vehicles and Jeeps",ZiL-181,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Unmanned Combat Aerial Vehicles,Korsar,,Russia,1,,,,,,,,,,1.0,,,"Trucks, Vehicles and Jeeps",Ural-375D,,the Soviet Union,10.0,,,,7.0,,,,,,3.0,,,
Unmanned Combat Aerial Vehicles,Forpost-RU,,Russia,1,,,,,,,,,,1.0,,,"Trucks, Vehicles and Jeeps",Ural-4320,,the Soviet Union,33.0,,,,10.0,,1.0,,1.0,,21.0,,,
Unmanned Combat Aerial Vehicles,Mohajer-6,,Iran,1,,,,,,,,,,1.0,,,"Trucks, Vehicles and Jeeps",Ural-4320,with ZU-23 AA gun,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Unmanned Combat Aerial Vehicles,Orlan-10 UCAV,,Russia,2,,,1.0,,,,,,,1.0,,,"Trucks, Vehicles and Jeeps",Ural tanker,,the Soviet Union,13.0,,,,7.0,,2.0,,,,4.0,,,
Reconnaissance Unmanned Aerial Vehicles,Forpost,,Israel,3,,,,,,,,,,2.0,1.0,,"Trucks, Vehicles and Jeeps",KamAZ,,the Soviet Union,11.0,,,,4.0,,1.0,,2.0,,4.0,,,
Reconnaissance Unmanned Aerial Vehicles,Orlan-10,,Russia,116,,,52.0,,,,,,,64.0,,,"Trucks, Vehicles and Jeeps",KamAZ tanker,,the Soviet Union,1.0,,,,1.0,,,,,,,,,
Reconnaissance Unmanned Aerial Vehicles,Orlan-10 jamming UAV,,Russia,3,,,2.0,,,,,,,1.0,,,"Trucks, Vehicles and Jeeps",MAZ-537,,the Soviet Union,2.0,,,,1.0,,,,,,1.0,,,
Reconnaissance Unmanned Aerial Vehicles,Orlan-10 'Moskit' jamming UAV,,Russia,1,,,1.0,,,,,,,,,,"Trucks, Vehicles and Jeeps",MAZ-5316,,Belarus,8.0,,,,,,1.0,,,,7.0,,,
Reconnaissance Unmanned Aerial Vehicles,'Orlan-20' ''Kartograf'',,Russia,9,,,1.0,,,,,1.0,,7.0,,,"Trucks, Vehicles and Jeeps",MAZ AC-8-500A Tanker,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Reconnaissance Unmanned Aerial Vehicles,Orlan-30,,Russia,4,,,2.0,,,,,,,2.0,,,"Trucks, Vehicles and Jeeps",MAZ-5337 fuel tanker,,the Soviet Union,1.0,,,,,,,,,,1.0,,,
Reconnaissance Unmanned Aerial Vehicles,Granat-4,,Russia,2,,,2.0,,,,,,,,,,"Trucks, Vehicles and Jeeps",FMTV M1083A1P2,,the United States,6.0,,,,,,,,,,6.0,,,
Reconnaissance Unmanned Aerial Vehicles,Eleron-3,,Russia,17,,,14.0,,,,,,,3.0,,,"Trucks, Vehicles and Jeeps",Mercedes-Benz Unimog U1300L ambulance,,Germany,2.0,,,,,,,,,,2.0,,,
Reconnaissance Unmanned Aerial Vehicles,Eleron T28ME,,Russia,1,,,1.0,,,,,,,,,,"Trucks, Vehicles and Jeeps",Pinzgauer Vector 718,,the United Kingdom,3.0,,,,,,2.0,,,,1.0,,,
Reconnaissance Unmanned Aerial Vehicles,Takhion,,Russia,3,,,3.0,,,,,,,,,,"Trucks, Vehicles and Jeeps",Land Rover Defender,,the United Kingdom,1.0,,,,,,,,,,1.0,,,
Reconnaissance Unmanned Aerial Vehicles,ZALA 421-16Е2,,Russia,6,,,3.0,,,,,,,3.0,,,"Trucks, Vehicles and Jeeps",UAZ-469 jeep,,the Soviet Union,9.0,,,,4.0,,,,,,5.0,,,
Reconnaissance Unmanned Aerial Vehicles,ZALA 421-16ЕM,,Russia,1,,,1.0,,,,,,,,,,"Trucks, Vehicles and Jeeps",UAZ-452 van,,the Soviet Union,9.0,,,,2.0,,1.0,,,,6.0,,,
Reconnaissance Unmanned Aerial Vehicles,Merlin-VR,,Russia,1,,,,,,,,,,1.0,,,"Trucks, Vehicles and Jeeps",Armoured Volkswagen Amarok pickup truck,,Germany,1.0,,,,,,,,1.0,,,,,
Reconnaissance Unmanned Aerial Vehicles,Lastochka-M,,Russia,1,,,1.0,,,,,,,,,,"Trucks, Vehicles and Jeeps",Bogdan-2351 ambulance pickup truck,,Ukraine,6.0,,,,1.0,,,,,,5.0,,,
Reconnaissance Unmanned Aerial Vehicles,Supercam S150,,Russia,2,,,1.0,,,,,,,1.0,,,"Trucks, Vehicles and Jeeps",Armed pickup truck,with KPV HMG,Ukraine,1.0,,,,,,,,,,1.0,,,
Reconnaissance Unmanned Aerial Vehicles,Supercam S350,,Russia,2,,,1.0,,,,,,,1.0,,,"Trucks, Vehicles and Jeeps",Armed pickup truck,with M2 HMG,Ukraine,1.0,,,,,,,,,,1.0,,,
Reconnaissance Unmanned Aerial Vehicles,Grifon-12,,Russia,1,,,1.0,,,,,,,,,,"Trucks, Vehicles and Jeeps",Armed pickup truck,with ZU-23 AA gun,Ukraine,1.0,,,,,,,,,,1.0,,,
Reconnaissance Unmanned Aerial Vehicles,Unknown reconnaissance UAV,,Russia,3,,,,,,,,,,3.0,,,"Trucks, Vehicles and Jeeps",Armed tactical buggy,with ATGM,Ukraine,1.0,,,,,,,,,,1.0,,,
Naval Ships,Project 1164 Slava-class guided missile cruiser 'Moskva',,the Soviet Union,1,,,,,,,,,,,,1.0,"Trucks, Vehicles and Jeeps",Ford Ranger,,the United States,1.0,,,,,,,,1.0,,,,,
Naval Ships,Project 03160 Raptor-class patrol boat,,Russia,5,,,,,,2.0,,,,3.0,,,"Trucks, Vehicles and Jeeps",Peugeot P4,,France,2.0,,,,,,,,,,2.0,,,
Naval Ships,Project 02510 BK-16E high-speed assault boat,,Russia,1,,,,,,,,,,1.0,,,"Trucks, Vehicles and Jeeps",Unknown tanker,,Ukraine,1.0,,,,,,,,,,1.0,,,
Naval Ships,Project 1171 Tapir-class landing ship 'Saratov (BDK-65)',,the Soviet Union,1,,,,,,,,,,1.0,,,"Trucks, Vehicles and Jeeps",Unknown truck,,Ukraine,65.0,,,,4.0,,2.0,1.0,,,58.0,,,
Naval Ships,Project 775 Ropucha-class landing ship,,Poland,1,,,,,,1.0,,,,,,,"Trucks, Vehicles and Jeeps",Unknown truck,with ZU-23 AA gun,Ukraine,1.0,,,,,,,,,,1.0,,,
Naval Ships,Project 11770 Serna-class landing craft,,Russia,1,,,,,,,,,,1.0,,,"Trucks, Vehicles and Jeeps",Unknown vehicle,,Ukraine,42.0,,,,,,,,,,42.0,,,
Naval Ships,Project 22870 SB-739 Vasily Bekh rescue tug,,Russia,1,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Naval Ships,Project 266M Natya-class minesweeper,,the Soviet Union,1,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",GAZ-51,,the Soviet Union,1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",GAZ-66,,the Soviet Union,25,,,12.0,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",KrAZ-255B,,the Soviet Union,2,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",KrAZ-255B tanker,,the Soviet Union,4,,,,,,,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",KrAZ-260 tanker,,the Soviet Union,2,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",ZiL-131,,the Soviet Union,23,1.0,,5.0,,,,,2.0,,15.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",ZiL-131 tanker,,the Soviet Union,2,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",9T217 transloader (for 9K33 Osa),,the Soviet Union,3,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",9T244 transloader (for 9A330/1 Tor),,Russia,7,,,,,,,,2.0,,5.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",GAZ-3308,,Russia,6,2.0,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",GAZ Sobol,,Russia,2,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",Ural-375D,,the Soviet Union,1,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",Ural-375D tanker,,the Soviet Union,1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",Ural-4320,,Russia,585,11.0,,129.0,,,6.0,1.0,13.0,,425.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",Ural-4320,with ZU-23 AA gun,Russia,5,,,1.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",Ural-4320 tanker,,Russia,150,1.0,,58.0,,,,,2.0,,89.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",Ural Avtozaks,,Russia,7,,,1.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",Ural-43206,,Russia,115,1.0,,35.0,,,,3.0,3.0,,73.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",Ural Federal,,Russia,29,1.0,,9.0,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",Ural-5323,,Russia,4,,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",Ural-63704-0010 Tornado-U,,Russia,10,1.0,,5.0,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",Ural-542301 tank transporter,,Russia,2,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",MAZ TZ-500 tanker,,the Soviet Union,1,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",KamAZ 4x4,,Russia,22,1.0,,6.0,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",KamAZ 6x6,,Russia,650,13.0,,122.0,,,7.0,2.0,21.0,,485.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",KamAZ 6x6,with ZU-23 AA gun,Russia,7,,,3.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",KamAZ 6x6 tanker,,Russia,112,1.0,,26.0,,,4.0,,3.0,,78.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",KamAZ 8x8,,Russia,16,,,5.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",KamAZ Avtozaks,,Russia,24,1.0,,4.0,,,,,1.0,,18.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",KamAZ-5350 with armoured cabin,,Russia,9,,,6.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",KamAZ with MM-501 armoured cabin,,Russia,23,2.0,,7.0,,,1.0,,1.0,,12.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",KamAZ-6350 8x8 artillery tractor,,Russia,7,,,,,,2.0,,,,5.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",KamAZ-395800 'Gorets',,Russia,1,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",Civilian KamAZ 6x6 converted for military use,,Russia,3,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",UAZ-469 jeep,,the Soviet Union,28,1.0,,11.0,,,,,3.0,,13.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",UAZ-452 van,,the Soviet Union,36,,,9.0,,,1.0,1.0,5.0,,20.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",LuAZ-969,,the Soviet Union,2,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",UAZ Patriot jeep,,Russia,3,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",UAZ-31514,,Russia,1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",UAZ-23632 pickup truck,,Russia,3,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",UAZ-23632-148-64 armed pickup truck,,Russia,5,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",UAZ-394511 ‘Esaul’,,Russia,5,,,,,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",UAZ-515195 'Esaul',,Russia,1,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",Unknown fuel tanker,,Russia,4,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",(Unknown) truck,,Russia,262,1.0,,10.0,1.0,,7.0,2.0,,,241.0,,,,,,,,,,,,,,,,,,,,
"Trucks, Vehicles and Jeeps",(Unknown) vehicle,,Russia,45,,,,,,6.0,,,,39.0,,,,,,,,,,,,,,,,,,,,
